genres,id,imdb_id,original_title,overview,poster_path,release_date,revenue,runtime,spoken_languages,tagline,title,vote_average,vote_count,backdrop_path,cast,crew,keywords
"[""Comedy""]",10358,tt1007028,Zack and Miri Make a Porno,"Lifelong platonic friends Zack and Miri look to solve their respective cash-flow problems by making an adult film together. As the cameras roll, however, the duo begin to sense that they may have more feelings for each other than they previously thought.",/40qxr2p2s297Q1mWFJOsRatQPK0.jpg,9/18/2008,42105111,102,"[""English""]",What would you do to get out of debt?,Zack and Miri Make a Porno,6.1,734,/qCSLKtNrL9xIyw2kjzi0GEUvqXx.jpg,"[""Seth Rogen"", ""Elizabeth Banks"", ""Jennifer Schwalbach Smith"", ""Jason Mewes"", ""Gerry Bednob"", ""Traci Lords"", ""Brandon Routh"", ""Justin Long"", ""Jeff Anderson"", ""Craig Robinson"", ""Tisha Campbell-Martin"", ""Tom Savini"", ""Kenny Hotz"", ""Katie Morgan""]","[""Bob Weinstein"", ""Harvey Weinstein"", ""Kevin Smith"", ""Scott Mosier"", ""Carla Gardini""]","[""pornography"", ""love of one's life"", ""platonic love"", ""pornographic video"", ""best friend"", ""sex comedy"", ""best friends in love"", ""aftercreditsstinger"", ""duringcreditsstinger""]"
"[""Romance"", ""Comedy""]",13596,tt1046163,My Best Friend's Girl,"When Dustin's girlfriend, Alexis, breaks up with him, he employs his best buddy, Tank, to take her out on the worst rebound date imaginable in the hopes that it will send her running back into his arms. But when Tank begins to really fall for Alexis, he finds himself in an impossible position.",/2PN16HJY0QoQrQDfbgopzwAUL0U.jpg,9/19/2008,36620508,101,"[""English""]",It's funny what love can make you do...,My Best Friend's Girl,5.4,223,/pe43Ut5GMyeXkuyY9aSfya1GV3F.jpg,"[""Dane Cook"", ""Kate Hudson"", ""Alec Baldwin"", ""Jason Biggs"", ""Diora Baird"", ""Lizzy Caplan"", ""Riki Lindhome"", ""Mini Anden"", ""Nate Torrence"", ""Hilary Pingle"", ""Malcolm Barrett"", ""Taran Killam"", ""Faye Grant"", ""Amanda Brooks"", ""Richard Snee"", ""Alberto Bonilla"", ""Sally Pressman"", ""Kate Albrecht"", ""Rakefet Abergel"", ""Andrew Caldwell"", ""Maureen Keiller"", ""Tom Kemp"", ""Tony V."", ""Jacqui Holland"", ""Andria Blackman"", ""Georgia Lyman"", ""Melina Lizette"", ""Josh Alexander"", ""Jenny Mollen"", ""Eamon Brooks"", ""Cyce Sadsad"", ""Rob Rota"", ""Edna Panaggio""]","[""Mike Elliott"", ""Adam Herz"", ""Howard Deutch"", ""Michael Paseornek"", ""Guymon Casady"", ""Barry Katz"", ""John Sacchi"", ""Brian Volk-Weiss"", ""Jerry P. Jacobs"", ""Gregory Lessans"", ""Josh Shader"", ""Jordan Cahan"", ""Doug Johnson""]","[""date"", ""sex"", ""bar"", ""test"", ""friendship"", ""insult"", ""stripper"", ""blonde"", ""liar"", ""wedding"", ""lap dance"", ""duringcreditsstinger""]"
"[""Drama""]",4960,tt0383028,"Synecdoche, New York","A theater director struggles with his work, and the women in his life, as he attempts to create a life-size replica of New York inside a warehouse as part of his new play.",/5UwdhrjXhUgsiDhe1dpS9z4yj7q.jpg,10/24/2008,0,124,"[""English""]",,"Synecdoche, New York",7.4,286,/z49xfB5s3A7G8vnXDfzFWJup046.jpg,"[""Philip Seymour Hoffman"", ""Samantha Morton"", ""Jennifer Jason Leigh"", ""Michelle Williams"", ""Catherine Keener"", ""Emily Watson"", ""Tom Noonan"", ""Sadie Goldstein"", ""Hope Davis"", ""Dianne Wiest"", ""Kristen Bush"", ""Alice Drummond"", ""Amy Wright"", ""Deirdre O'Connell"", ""Elizabeth Marvel"", ""Charles Techman"", ""Tom Greer""]","[""Charlie Kaufman"", ""Charlie Kaufman"", ""Anthony Bregman"", ""Spike Jonze"", ""William Horberg"", ""Sidney Kimmel"", ""Bruce Toll"", ""Ray Angelic""]","[""new york"", ""man-woman relation"", ""writer""]"
"[""Adventure""]",12837,tt0416212,The Secret Life of Bees,"Set in South Carolina in 1964, this is the tale of Lily Owens a 14 year-old girl who is haunted by the memory of her late mother. To escape her lonely life and troubled relationship with her father, Lily flees with Rosaleen, her caregiver and only friend, to a South Carolina town that holds the secret to her mother's past.",/m1LGEeoYfc6crbfG8WmTKg9SVqL.jpg,9/17/2008,38105395,114,"[""English""]","Bring Your Girlfriends, Sisters, Mothers and Daughters.",The Secret Life of Bees,7.4,159,/40K8NpPgBqIDukExvG4yWPkYEvO.jpg,"[""Dakota Fanning"", ""Queen Latifah"", ""Jennifer Hudson"", ""Sophie Okonedo"", ""Alicia Keys"", ""Sharon Conley"", ""Paul Bettany"", ""Tristan Mack Wilds"", ""Hilarie Burton"", ""Emily Alyn Lind"", ""Nate Parker""]","[""Will Smith"", ""Lauren Shuler Donner"", ""Jada Pinkett Smith"", ""James Lassiter"", ""Gina Prince-Bythewood"", ""Joe Pichirallo""]","[""woman director""]"
"[""Horror"", ""Science Fiction"", ""Thriller""]",13812,tt1082868,Quarantine,A television reporter and her cameraman are trapped inside a building quarantined by the CDC after the outbreak of a mysterious virus which turns humans into bloodthirsty killers.,/rGfOD8IC1x4PqmnqRuA8KyCckia.jpg,10/10/2008,40855419,89,"[""English""]",Contain The Truth.,Quarantine,5.6,343,/eBbge8LlrqWGo4MLsH7qXtOrpFi.jpg,"[""Jennifer Carpenter"", ""Steve Harris"", ""Jay Hernandez"", ""Johnathon Schaech"", ""Columbus Short"", ""Andrew Fiscella"", ""Rade Serbedzija"", ""Greg Germann"", ""Bernard White"", ""Dania Ramirez"", ""Marin Hinkle"", ""Joey King"", ""Denis O'Hare"", ""Jermaine Jackson"", ""Doug Jones"", ""Craig Susser""]","[""Doug Davison"", ""Roy Lee"", ""John Erick Dowdle""]","[""quarantine"", ""remake"", ""tv reporter"", ""found footage"", ""virus""]"
"[""Comedy"", ""Drama"", ""Family"", ""Music"", ""Romance""]",11887,tt0962726,High School Musical 3: Senior Year,"It's almost graduation day for high school seniors Troy, Gabriella, Sharpay, Chad, Ryan and Taylor ― and the thought of heading off in separate directions after leaving East High has these Wildcats thinking they need to do something they'll remember forever. Together with the rest of the Wildcats, they stage a spring musical reflecting their hopes and fears about the future and their unforgettable experiences growing up together. But with graduation approaching and college plans in question, what will become of the dreams, romances, and friendships of East High's senior Wildcats?",/2XJZeToQpxA0phMrC8Ez1mIrvjv.jpg,10/22/2008,0,116,"[""English""]",,High School Musical 3: Senior Year,6.1,858,/spyZFUG0lR6FEbvMn3YBcxT8vdx.jpg,"[""Zac Efron"", ""Vanessa Hudgens"", ""Ashley Tisdale"", ""Lucas Grabeel"", ""Corbin Bleu"", ""Monique Coleman"", ""Justin Martin"", ""Chris Warren, Jr."", ""Olesya Rulin"", ""Matt Prokop"", ""Ryne Sanborn"", ""Kaycee Stroh"", ""Alyson Reed"", ""Jemma McKenzie-Brown"", ""Katie Cockrell""]","[""Bill Borden"", ""Kenny Ortega"", ""Barry Rosenbush""]","[""musical"", ""music"", ""high school"", ""coming of age"", ""teenager"", ""high school student"", ""duringcreditsstinger""]"
"[""Animation"", ""Comedy"", ""Science Fiction""]",13253,tt1054486,Futurama: Bender's Game,"When Leela is insulted by a group of space-rednecks (like regular rednecks, but in space) she enters the Planet Express ship in a demolition derby.  She emerges victorious, but when she brings the damaged ship home and the Professor sees the fuel gauge, he's enraged by the hit he's going to take at the Dark Matter pump.  Now the crew have to find a way to break Mom's stranglehold on starship fuel, even if they have to wade through a Lord of the Rings-inspired fantasy-land to do it!",/bx8OVOBn5WP9TJJuOpRzyMCdzzb.jpg,11/3/2008,0,88,"[""English""]",All-New Feature-Length Quest,Futurama: Bender's Game,6.9,152,/rjK7Fri42mn77bOnN3355XHC7eq.jpg,"[""Billy West"", ""Katey Sagal"", ""John DiMaggio"", ""Phil LaMarr"", ""Lauren Tom"", ""Tress MacNeille""]","[""Dwayne Carey-Hill"", ""Claudia Katz"", ""Lee Supercinski""]",[]
"[""Family"", ""Animation""]",10527,tt0479952,Madagascar: Escape 2 Africa,"Alex, Marty, Melman, Gloria, King Julien, Maurice, the penguins and the chimps are back and still marooned on Madagascar. In the face of this obstacle, the New Yorkers have hatched a plan so crazy it just might work. With military precision, the penguins have repaired an old crashed plane... sort of.",/agRbLOHgN46TQO4YdKR462iR7To.jpg,10/30/2008,603900354,89,"[""English"", ""Italiano"", ""ภาษาไทย""]",Still together. Still lost!,Madagascar: Escape 2 Africa,6.2,1866,/r2M9ElkHxEJP7riCFbT5N0uXZTc.jpg,"[""Ben Stiller"", ""Jada Pinkett Smith"", ""David Schwimmer"", ""Chris Rock"", ""Cedric the Entertainer"", ""Andy Richter"", ""Bernie Mac"", ""Alec Baldwin"", ""Sacha Baron Cohen"", ""Sherri Shepherd"", ""Will.i.am"", ""Elisa Gabrielli"", ""Tom McGrath"", ""Chris Miller"", ""Christopher Knights"", ""Conrad Vernon"", ""Quinn Dempsey Stiller"", ""Declan Swift"", ""Fred Tatasciore"", ""Eric Darnell"", ""Willow Smith"", ""Thomas Stanley"", ""Zachary Gordon"", ""Meredith Vieira"", ""Lesley Stahl"", ""Al Roker"", ""David Soren"", ""Phil LaMarr"", ""Stephen Kearin"", ""Dan O'Connor"", ""Edie Mirman"", ""Fergie"", ""Harland Williams"", ""Danny Jacobs"", ""Bridget Hoffman"", ""Terrence Hardy Jr."", ""Conner Rayburn"", ""Holly Dorff"", ""David P. Smith"", ""Lynnanne Zager"", ""Jackie Gonneau"", ""John Eric Bentley""]","[""Eric Darnell"", ""Tom McGrath""]","[""africa"", ""jealousy"", ""dance"", ""hunger"", ""lion"", ""zoo"", ""hippopotamus"", ""chimp"", ""penguin"", ""volcano"", ""madagascar"", ""airplane"", ""zebra"", ""sequel"", ""shark"", ""imax"", ""duringcreditsstinger""]"
"[""Crime"", ""Drama"", ""Mystery""]",3580,tt0824747,Changeling,"Christine Collins is overjoyed when her kidnapped son is brought back home. But when Christine suspects that the boy returned to her isn't her child, the police captain has her committed to an asylum.",/iECXjFF8JkTnNJvik14WbPpc9s9.jpg,1/30/2008,113020255,141,"[""English""]","To find her son, she did what no one else dared.",Changeling,7.3,1151,/hmw8oa2aJvhKbfibs8dp3vsNCDI.jpg,"[""Angelina Jolie"", ""Jeffrey Donovan"", ""John Malkovich"", ""Geoff Pierson"", ""Amy Ryan"", ""Gattlin Griffith"", ""Michelle Gunn"", ""Frank Wood"", ""Colm Feore"", ""Michael Kelly"", ""Denis O'Hare"", ""Jeffrey Hutchinson"", ""Devon Conti"", ""Peter Breitmayer"", ""Antonia Bennett"", ""Erica Grant"", ""Jan Devereaux"", ""Kerri Randles"", ""Morgan Eastwood"", ""Ric Sarabia"", ""Debra Christofferson"", ""Russell Edge"", ""Mary Stein"", ""Gregg Binkley"", ""E.J. Callahan"", ""Reed Birney"", ""Colby French"", ""Kelly Lynn Warren"", ""Richard King"", ""William Charlton"", ""Cooper Thornton"", ""J.P. Bumstead"", ""Peter Gerety"", ""John Harrington Bland"", ""Pamela Dunlap"", ""Roger Hewlett"", ""Jim Cantafio"", ""Wendy Worthington"", ""Riki Lindhome"", ""Dale Dickey"", ""Jason Butler Harner"", ""Eddie Alderson"", ""Michael McCafferty"", ""David Goldman"", ""Anthony De Marco"", ""Kevin Glikmann"", ""Hope Shapiro"", ""Caleb Campbell"", ""Zach Mills"", ""Scott Leva"", ""Clint Ward"", ""Michael Dempsey"", ""Phil Van Tee"", ""Jim Nieb"", ""Pete Rockwell"", ""Lily Knight"", ""Ryan Cutrona"", ""Devon Gearhart"", ""Andre Alexsen"", ""William Brent"", ""Jason Ciok"", ""Wrong"", ""Dominick Dunne"", ""Leslie Gunning"", ""Patrizia Milano"", ""Kerry Hennessy"", ""Bruce Holman"", ""Christopher Karl Johnson"", ""Jen Lilley"", ""Darin Mangan"", ""Michael Saglimbeni"", ""John H. Tobin"", ""George F. Watson"", ""JW Wiseman""]","[""Clint Eastwood"", ""Clint Eastwood"", ""Brian Grazer"", ""Robert Lorenz"", ""Ron Howard"", ""James Whitaker"", ""Geyer Kosinski"", ""Tim Moore"", ""Audrey Chon""]","[""corruption"", ""mother"", ""nudity"", ""minister"", ""power"", ""public"", ""government"", ""police"", ""reunion"", ""murder"", ""conspiracy"", ""los angeles"", ""missing"", ""mother love"", ""criticism""]"
"[""Adventure"", ""Drama""]",20766,tt0898367,The Road,"A father and his son walk alone through burned America. Nothing moves in the ravaged landscape save the ash on the wind and water. It is cold enough to crack stones, and, when the snow falls it is gray. The sky is dark. Their destination is the warmer south, although they don't know what, if anything, awaits them there.",/qLaXnLzqleBWQtjvZ6JGVSaKoC3.jpg,11/25/2009,27635305,111,"[""English""]",In a moment the world changed forever.,The Road,6.8,1113,/6188iOmUAitGThYUjyx20fO4LJd.jpg,"[""Viggo Mortensen"", ""Kodi Smit-McPhee"", ""Charlize Theron"", ""Robert Duvall"", ""Guy Pearce"", ""Molly Parker"", ""Michael Kenneth Williams"", ""Garret Dillahunt"", ""Bob Jennings"", ""Agnes Herrmann"", ""Buddy Sosthand"", ""Kirk Brown"", ""Jack Erdie"", ""David August Lindauer"", ""Gina Preciado""]","[""Nick Wechsler"", ""John Hillcoat"", ""Paula Mae Schwartz"", ""Steve Schwartz""]","[""post-apocalyptic"", ""dystopia"", ""paternity"", ""duringcreditsstinger""]"
"[""Comedy""]",15373,tt0430922,Role Models,"Two salesmen trash a company truck on an energy drink-fueled bender. Upon their arrest, the court gives them a choice: do hard time or spend 150 service hours with a mentorship program. After one day with the kids, however, jail doesn't look half bad.",/d5SatGKWi0VpO9QX0Z74zLh9i91.jpg,2/3/2008,92380927,99,"[""English""]",They're about to get more than they plea-bargained for.,Role Models,6.4,575,/vDKbYwjtQ5XMWIEmlnoMi5kaqYm.jpg,"[""Seann William Scott"", ""Paul Rudd"", ""Elizabeth Banks"", ""Christopher Mintz-Plasse"", ""Bobb'e J. Thompson"", ""Jane Lynch"", ""Ken Jeong"", ""Amanda Righetti"", ""Joe Lo Truglio"", ""Ken Marino"", ""Kerri Kenney-Silver"", ""A.D. Miles"", ""Matt Walsh"", ""Nicole Randall Johnson"", ""Allie Stamler"", ""Carly Craig"", ""Jessica Morris"", ""Vincent Martella"", ""Nate Hartley"", ""David Wain"", ""Louis C.K."", ""Keegan-Michael Key"", ""Armen Weitzman"", ""Tina Casciani"", ""Nina Hellman"", ""Zaid Farid"", ""Joshua L.K. Patterson"", ""Peter Salett"", ""Jorma Taccone""]","[""Dan Kolsrud"", ""Scott Stuber"", ""David Wain"", ""Andrew Z. Davis"", ""William Sherak"", ""Jason Shuman"", ""Luke Greenfield"", ""Mary Parent"", ""Matthew Seigel""]","[""camping"", ""campsite"", ""big brother"", ""friends"", ""community service"", ""kids"", ""duringcreditsstinger""]"
"[""Comedy"", ""Drama"", ""Family"", ""Music"", ""TV Movie""]",13655,tt1055366,Camp Rock,"When Mitchie gets a chance to attend Camp Rock, her life takes an unpredictable twist, and she learns just how important it is to be true to yourself.",/7IXMqZnwccogptThay3togKIFWw.jpg,6/20/2008,0,94,"[""English""]","Don't fit in, stand out.",Camp Rock,6,432,/dbjyGc3pd02FJ9vkGj1MPGLqFOq.jpg,"[""Demi Lovato"", ""Joe Jonas"", ""Maria Canals-Barrera"", ""Meaghan Jette Martin"", ""Alyson Stoner"", ""Daniel Fathers"", ""Anna Maria Perez de Tagle"", ""Julie Brown"", ""Kevin Jonas"", ""Nick Jonas""]","[""Matthew Diamond"", ""Kevin Lafferty""]","[""rock star"", ""summer camp"", ""aspiring singer"", ""camp"", ""singing"", ""summer"", ""teenager"", ""lying"", ""teenage romance""]"
"[""Horror"", ""Thriller"", ""Crime""]",11917,tt1132626,Saw V,"Detective Hoffman is seemingly the last person alive to carry on the Jigsaw legacy. But when his secret is threatened, he must go on the hunt to eliminate all the loose ends.",/rKl79KqLXg60KFyKsLe4wSSjQ08.jpg,10/23/2008,113857533,92,"[""English""]",You Won't Believe How It Ends,Saw V,6,848,/9rlenYH6E1kOWuQW3wl4XjjFKTJ.jpg,"[""Tobin Bell"", ""Costas Mandylor"", ""Scott Patterson"", ""Betsy Russell"", ""Mark Rolston"", ""Julie Benz"", ""Carlo Rota"", ""Meagan Good"", ""Shawnee Smith"", ""Greg Bryk"", ""Sheila Shah"", ""Niamh Wilson""]","[""Mark Burg"", ""Gregg Hoffman"", ""Oren Koules"", ""David Hackl""]","[""blood splatter"", ""serial killer"", ""pig mask"", ""nazi"", ""jigsaw"", ""swastika tattoo""]"
"[""Comedy"", ""Adventure"", ""Romance""]",13523,tt1135985,Sex Drive,A high school senior drives cross-country with his best friends to hook up with a babe he met online.,/pKaFgIpPtkiYTEqytKPaHzlz4Tn.jpg,10/16/2008,18755936,109,"[""English""]",He's leaving virgin territory,Sex Drive,6,348,/aKocfcKDF4DJopM6vfRT1CUXRey.jpg,"[""Josh Zuckerman"", ""Amanda Crew"", ""Clark Duke"", ""James Marsden"", ""Seth Green"", ""Alice Greczyn"", ""Katrina Bowden"", ""Mark L. Young"", ""Charlie McDermott"", ""Andrea Anders"", ""Shelly Frasier""]","[""Michael Nelson"", ""Leslie Morgenstein"", ""Sean Anders"", ""John Morris"", ""Bob Levy""]","[""sex"", ""jealousy"", ""virgin"", ""nudity"", ""community"", ""friendship"", ""high school"", ""road trip"", ""friends"", ""romance"", ""redneck"", ""loss of virginity"", ""hitchhiker"", ""teen movie"", ""boyfriend"", ""pickup"", ""knoxville""]"
"[""Adventure"", ""Comedy"", ""Family""]",14405,tt1014775,Beverly Hills Chihuahua,"A pampered Beverly Hills chihuahua named Chloe who, while on vacation in Mexico with her owner Viv's niece, Rachel, gets lost and must rely on her friends to help her get back home before she is caught by a dognapper who wants to ransom her.",/2aRvqtLoE06hTjG93lASvO7r1as.jpg,10/3/2008,149281606,91,"[""English""]",50% Warrior. 50% Lover. 100% Chihuahua.,Beverly Hills Chihuahua,4.9,217,/vKCiYKgTYVlsDaecEKFOYG7ZM15.jpg,"[""Drew Barrymore"", ""Piper Perabo"", ""Andy García"", ""George Lopez"", ""Paul Rodríguez"", ""Plácido Domingo"", ""Edward James Olmos"", ""Loretta Devine"", ""Jamie Lee Curtis"", ""Luis Guzmán"", ""Eddie 'Piolin' Sotelo"", ""Carlos Juvera"", ""Grey Griffin""]","[""Raja Gosnell""]","[""dog dirt"", ""chihuahua"", ""pinata"", ""potted plant"", ""duringcreditsstinger""]"
"[""Horror"", ""Thriller""]",13220,tt1031280,Splinter,"When their plans for a nature trip go awry, Polly and boyfriend Seth decide to check into a motel. On their way, they're carjacked and kidnapped by low-rent crooks Dennis and Lacey, who take the victims and their SUV to a nearby gas station. Along the way, they encounter an increasingly terrifying horde of parasites, and if any of them intend to survive, they'll have to outsmart the deadly organisms.",/tFNReQlU92jmN7uuR1HHLiFkEua.jpg,10/31/2008,124191,82,"[""English""]",It will get under your skin.,Splinter,6,213,/h6NOPc2nUoKmobs5lia33z4syNM.jpg,"[""Charles Baker"", ""Jill Wagner"", ""Paulo Costanzo"", ""Shea Whigham"", ""Rachel Kerbs"", ""Laurel Whitsett""]","[""Mark Cuban"", ""Todd Wagner"", ""Graham Begg"", ""Jamie Carmichael"", ""Toby Wilkins"", ""Kai Barry"", ""Ted Kroeber"", ""Chad Burris"", ""Dori Begley""]","[""alien infection""]"
"[""Animation"", ""Family"", ""Adventure"", ""Comedy""]",13053,tt0397892,Bolt,"Bolt is the star of the biggest show in Hollywood. The only problem is, he thinks it's real. After he's accidentally shipped to New York City and separated from Penny, his beloved co-star and owner, Bolt must harness all his ""super powers"" to find a way home.",/z9VHoUcZ1GiH3f3qYz7Me7Zc1Fd.jpg,11/21/2008,309979994,98,"[""English""]",Fully Awesome. Ridonculous. Let It Begin.,Bolt,6.3,1798,/uWIyXlBRwW2MIBcBysj50A9nv7D.jpg,"[""John Travolta"", ""Miley Cyrus"", ""Susie Essman"", ""Mark Walton"", ""Malcolm McDowell"", ""James Lipton"", ""Greg Germann"", ""Diedrich Bader"", ""Nick Swardson"", ""J.P. Manoux"", ""Dan Fogelman"", ""Kari Wahlgren"", ""Chloë Grace Moretz"", ""Randy Savage"", ""Ronn Moss"", ""Grey Griffin""]","[""John Lasseter"", ""Clark Spencer"", ""Chris Williams"", ""Byron Howard""]","[""hamster"", ""kids and family"", ""animal"", ""cat vs dog"", ""duringcreditsstinger"", ""dog cat friendship"", ""animal lead"", ""girl dog relationship""]"
"[""History"", ""Drama""]",10139,tt1013753,Milk,"The story of California's first openly gay elected official, Harvey Milk, who  became an outspoken agent for change, seeking equal rights and opportunities for all. His great love for the city and its people brought him backing from young and old, straight and gay, alike – at a time when prejudice and violence against gays was openly accepted as the norm.",/ot4ImF4b7QbS6XsTdMH3pWxNmX2.jpg,11/26/2008,54586584,128,"[""English""]",Never Blend In.,Milk,7.1,628,/znzTuCjd8cm0uGxSqFOuwJO6anz.jpg,"[""Sean Penn"", ""Emile Hirsch"", ""James Franco"", ""Josh Brolin"", ""Diego Luna"", ""Alison Pill"", ""Victor Garber"", ""Denis O'Hare"", ""Joseph Cross"", ""Stephen Spinella"", ""Boyd Holbrook"", ""Lucas Grabeel"", ""Dave Franco""]","[""Bruce Cohen"", ""Gus Van Sant""]","[""gay"", ""san francisco"", ""homophobia"", ""mayor"", ""biography"", ""politics"", ""politician"", ""election campaign"", ""homosexuality"", ""morality"", ""election"", ""candlelight vigil"", ""mayoral campaign""]"
"[""Adventure"", ""Fantasy"", ""Drama"", ""Romance""]",8966,tt1099212,Twilight,"When Bella Swan moves to a small town in the Pacific Northwest to live with her father, she starts school and meets the reclusive Edward Cullen, a mysterious classmate who reveals himself to be a 108-year-old vampire. Despite Edward's repeated cautions, Bella can't help but fall in love with him, a fatal move that endangers her own life when a coven of bloodsuckers try to challenge the Cullen clan.",/3Gkb6jm6962ADUPaCBqzz9CTbn9.jpg,11/20/2008,392616625,122,"[""English""]","When you can live forever, what do you live for?",Twilight,5.8,3688,/mfFhgR9ILPWbYtvbdyAGUo6fbpT.jpg,"[""Kristen Stewart"", ""Robert Pattinson"", ""Billy Burke"", ""Taylor Lautner"", ""Peter Facinelli"", ""Ashley Greene"", ""Jackson Rathbone"", ""Elizabeth Reaser"", ""Kellan Lutz"", ""Nikki Reed"", ""Anna Kendrick"", ""Sarah Clarke"", ""Gil Birmingham"", ""Rachelle Lefevre"", ""Cam Gigandet"", ""Edi Gathegi"", ""Michael Welch"", ""Christian Serratos"", ""Justin Chon"", ""Tyson Houseman"", ""Matt Bushell"", ""Gregory Tyree Boyce"", ""Ned Bellamy"", ""José Zúñiga"", ""Ayanna Berkshire"", ""Stephenie Meyer""]","[""Catherine Hardwicke""]","[""soulmates"", ""vampire"", ""forbidden love"", ""immortality"", ""trust"", ""desire"", ""duringcreditsstinger"", ""woman director"", ""interspecies romance"", ""based on young adult novel"", ""fang vamp""]"
"[""Comedy"", ""Romance"", ""Drama""]",12193,tt0369436,Four Christmases,"Brad and Kate have made something of an art form out of avoiding their families during the holidays, but this year their foolproof plan is about go bust -- big time. Stuck at the city airport after all departing flights are canceled, the couple is embarrassed to see their ruse exposed to the world by an overzealous television reporter. Now, Brad and Kate are left with precious little choice other than to swallow their pride and suffer the rounds.",/zixj44TC7rwzpxtJAG5OzFJnEqe.jpg,11/26/2008,163733697,88,"[""English""]","His father, her mother, his mother and her father all in one day.",Four Christmases,5.3,337,/6ZuYKN5wJKcuCw7o1WsbjYo68vz.jpg,"[""Vince Vaughn"", ""Reese Witherspoon"", ""Robert Duvall"", ""Sissy Spacek"", ""Jon Voight"", ""Jon Favreau"", ""Mary Steenburgen"", ""Dwight Yoakam"", ""Tim McGraw"", ""Kristin Chenoweth"", ""Katy Mixon"", ""Colleen Camp"", ""Jeanette Miller"", ""Jack Donner"", ""Steve Wiebe"", ""Zak Boggan"", ""Skyler Gisondo"", ""True Bella Pinci"", ""Patrick Van Horn"", ""Cedric Yarbrough"", ""Brian Baumgartner"", ""Laura Johnson"", ""Collette Wolfe"", ""Haley Hallak"", ""Peter Billingsley""]","[""Reese Witherspoon"", ""Roger Birnbaum"", ""Gary Barber"", ""Vince Vaughn"", ""Peter Billingsley"", ""Jonathan Glickman"", ""Guy Riedel"", ""Derek Evans"", ""Seth Gordon""]","[""holiday"", ""romantic comedy"", ""dysfunctional family"", ""christmas""]"
"[""Adventure"", ""Animation"", ""Comedy"", ""Fantasy"", ""Family""]",13394,tt0897387,Shrek the Halls,"The Christmas tree isn't the only thing green in this new holiday classic. Shrek is back and trying to get into the spirit of the season. After promising Fiona and the kids a Christmas they'll remember, he is forced to take a crash course in the holiday. But just when he thinks he has everything for their quiet family Christmas just right, there is a knock at the door.",/xejoSLtxLNkglY5YkojlOkMHz3u.jpg,11/28/2007,0,28,"[""English""]",,Shrek the Halls,5.8,179,/vO1VJevJIKIXGfveYHsLPn8iHUn.jpg,"[""Mike Myers"", ""Eddie Murphy"", ""Cameron Diaz"", ""Antonio Banderas"", ""Cody Cameron"", ""Susan Fitzer"", ""Christopher Knights"", ""Gary Trousdale"", ""Conrad Vernon"", ""Aron Warner"", ""Marissa Jaret Winokur"", ""Miles Bakshi"", ""Nina Zoe Bakshi"", ""Dante James Hauser"", ""Sean Bishop""]","[""Aron Warner"", ""Gary Trousdale"", ""Teresa Cheng"", ""Gina Shay""]","[""holiday"", ""based on novel"", ""cat"", ""fairy tale"", ""donkey"", ""christmas tree"", ""cartoon"", ""shrek""]"
"[""Drama"", ""Mystery""]",14359,tt0918927,Doubt,"In 1964, a Catholic school nun questions a priest's ambiguous relationship with a troubled young student, suspecting him of abuse. He denies the charges, and much of the film's quick-fire dialogue tackles themes of religion, morality, and authority.",/9lypT2ghNuUPYVJf66oe4fKvUqI.jpg,11/27/2008,50907234,104,"[""English""]","There is no evidence. There are no witnesses. But for one, there is no doubt.",Doubt,7,445,/rQuIeSAEqUyuKP6zAo8m1HgxkRc.jpg,"[""Meryl Streep"", ""Philip Seymour Hoffman"", ""Amy Adams"", ""Viola Davis"", ""Alice Drummond"", ""Audrie Neenan"", ""Susan Blommaert"", ""Carrie Preston"", ""John Costelloe"", ""Lloyd Clay Brown"", ""Joseph Foster"", ""Mike Roukis"", ""Frank Shanley"", ""Frank Dolce"", ""Paulie Litt"", ""Matthew Marvin"", ""Bridget Megan Clark"", ""Molly Chiffer"", ""Lydia Jordan"", ""Suzanne Hevner"", ""Helen Stenborg"", ""Tom Toner"", ""Michael Puzzo"", ""Margery Beddow"", ""Jack O'Connell"", ""Marylouise Burke"", ""Alannah Iacovano"", ""Valda Setterfield"", ""Gerard Adimando"", ""George Aloi"", ""James P. Anderson"", ""Jackie Brown"", ""Jonathan Castillo"", ""Jennifer Lauren DiBella"", ""Seth Donavan"", ""Amanda Florian"", ""Brianna Leann Florian"", ""Tiffany Ashley Florian"", ""Brian Hopson"", ""Evan Lewis"", ""Bernadette Lords"", ""Jenny Paul"", ""Robert Shulman"", ""Felicia Tassone"", ""Steph Van Vlack""]","[""Scott Rudin"", ""Celia D. Costas"", ""Mark Roybal"", ""John Patrick Shanley""]","[""sexual abuse"", ""boy"", ""wine"", ""gift"", ""janitor"", ""singing"", ""pedophile"", ""gossip"", ""compassion"", ""tolerance"", ""1960s""]"
